status,source_relative_path,source_path,bytes,obj_path,vertices,triangles,position_offset,normal_offset,uv_offset,index_offset,texture_source,texture_output,parser_mode,mesh_blocks,kept_block_count,assembly_blocks,direction_blocks,dropped_blocks,assembly_block_diagnostics,direction_block_diagnostics,dropped_block_diagnostics,large_dropped_block_count,bounds,xfi_transform_count,xfi_direction_range_count,error
"converted","datan\common\arm10_broz.gx","C:\Program Files (x86)\Nova1492\datan\common\arm10_broz.gx","13856","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm10_broz_8151f977.obj","156","176","0x155;0x2D0F;0x3348","0x7E5;0x2D6F;0x33A8","0xE75;0x2DCF;0x3408","0x12D5;0x2E0F;0x3448","C:\Program Files (x86)\Nova1492\datan\common\topmine.TGA","datan_common_arm10_broz_8151f977.TGA","gx_mesh_headers","3","3","0x155:v140:t160;0x2D0F:v8:t8;0x3348:v8:t8","","","","","","0","-0.591315;-0.013913;-0.696279|0.587881;0.620794;0.294147","0","7",""
"converted","datan\common\arm11_poms.gx","C:\Program Files (x86)\Nova1492\datan\common\arm11_poms.gx","7972","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm11_poms_3a4be2f0.obj","73","91","0x157;0x1DEC","0x493;0x1E1C","0x7CF;0x1E4C","0x9F7;0x1E6C","C:\Program Files (x86)\Nova1492\datan\common\toppwrup.TGA","datan_common_arm11_poms_3a4be2f0.TGA","gx_mesh_headers","2","2","0x157:v69:t89;0x1DEC:v4:t2","","","","","","0","-0.210424;-0;-0.351312|0.210481;0.280153;0.497835","0","7",""
"converted","datan\common\arm12_onms.gx","C:\Program Files (x86)\Nova1492\datan\common\arm12_onms.gx","10877","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm12_onms_efa25324.obj","104","106","0x155;0x1797;0x1B93;0x1FE5;0x2436;0x28E1","0x4CD;0x17DF;0x1BE7;0x2039;0x2466;0x2929","0x845;0x1827;0x1C3B;0x208D;0x2496;0x2971","0xA95;0x1857;0x1C73;0x20C5;0x24B6;0x29A1","C:\Program Files (x86)\Nova1492\datan\common\tophpup.TGA","datan_common_arm12_onms_efa25324.TGA","gx_mesh_headers","6","6","0x155:v74:t82;0x1797:v6:t4;0x1B93:v7:t7;0x1FE5:v7:t7;0x2436:v4:t2;0x28E1:v6:t4","","","","","","0","-0.208035;0.000003;-0.371253|0.208288;0.279253;0.489877","0","7",""
"converted","datan\common\arm13_prs.gx","C:\Program Files (x86)\Nova1492\datan\common\arm13_prs.gx","17849","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm13_prs_506c6fbf.obj","272","216","0x151;0x225F;0x41F1","0x6F1;0x288F;0x42E1","0xC91;0x2EBF;0x43D1","0x1051;0x32DF;0x4471","C:\Program Files (x86)\Nova1492\datan\common\top11.TGA","datan_common_arm13_prs_506c6fbf.TGA","gx_mesh_headers","3","3","0x151:v120:t108;0x225F:v132:t98;0x41F1:v20:t10","","","","","","0","-0.193747;-0.10542;-0.656248|0.193759;0.432738;1.660975","0","7",""
"converted","datan\common\arm15_hdkn.gx","C:\Program Files (x86)\Nova1492\datan\common\arm15_hdkn.gx","58904","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm15_hdkn_75ab9b21.obj","373","321","0x151;0x3B87;0x64C5;0x726B;0x8DA5;0xB243;0xC028;0xDDA8","0x769;0x3E6F;0x66E1;0x72CB;0x8FB5;0xB45F;0xC088;0xDF1C","0xD81;0x4157;0x68FD;0x732B;0x91C5;0xB67B;0xC0E8;0xE090","0x1191;0x4347;0x6A65;0x736B;0x9325;0xB7E3;0xC128;0xE188","C:\Program Files (x86)\Nova1492\datan\common\top13.TGA","datan_common_arm15_hdkn_75ab9b21.TGA","gx_mesh_headers","8","8","0x151:v130:t126;0x3B87:v62:t56;0x64C5:v45:t30;0x726B:v8:t4;0x8DA5:v44:t34;0xB243:v45:t30;0xC028:v8:t4;0xDDA8:v31:t37","","","","","","0","-0.70803;-0.151827;-0.838707|0.736295;0.861277;0.720815","0","7",""
"converted","datan\common\arm17_prrs.gx","C:\Program Files (x86)\Nova1492\datan\common\arm17_prrs.gx","21759","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm17_prrs_13e8b933.obj","240","266","0x151;0x26A6;0x38D4;0x3FDB;0x5208","0x709;0x28DA;0x3964;0x420F;0x5298","0xCC1;0x2B0E;0x39F4;0x4443;0x5328","0x1091;0x2C86;0x3A54;0x45BB;0x5388","C:\Program Files (x86)\Nova1492\datan\common\top15.TGA","datan_common_arm17_prrs_13e8b933.TGA","gx_mesh_headers","5","5","0x151:v122:t140;0x26A6:v47:t51;0x38D4:v12:t12;0x3FDB:v47:t51;0x5208:v12:t12","","","","","","0","-0.666198;-0.000011;-0.455553|0.666201;0.825552;0.353944","0","7",""
"converted","datan\common\arm18_knst.gx","C:\Program Files (x86)\Nova1492\datan\common\arm18_knst.gx","23881","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm18_knst_c1fdf073.obj","244","232","0x151;0x204E;0x2768;0x399E;0x40B0;0x4812;0x5A47","0x661;0x20AE;0x29A8;0x3A2E;0x4110;0x4A52;0x5AD7","0xB71;0x210E;0x2BE8;0x3ABE;0x4170;0x4C92;0x5B67","0xED1;0x214E;0x2D68;0x3B1E;0x41B0;0x4E12;0x5BC7","C:\Program Files (x86)\Nova1492\datan\common\top16.TGA","datan_common_arm18_knst_c1fdf073.TGA","gx_mesh_headers","7","7","0x151:v108:t100;0x204E:v8:t8;0x2768:v48:t45;0x399E:v12:t12;0x40B0:v8:t10;0x4812:v48:t45;0x5A47:v12:t12","","","","","","0","-0.648307;-0.004664;-0.37297|0.646646;0.7677;0.53019","0","7",""
"converted","datan\common\arm19_roz.gx","C:\Program Files (x86)\Nova1492\datan\common\arm19_roz.gx","24572","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm19_roz_611f470e.obj","246","260","0x151;0x1E34;0x2D15;0x3A0F;0x4121;0x5001;0x5CFA","0x529;0x1FFC;0x2E95;0x3A9F;0x42E9;0x5181;0x5D8A","0x901;0x21C4;0x3015;0x3B2F;0x44B1;0x5301;0x5E1A","0xB91;0x22F4;0x3115;0x3B8F;0x45E1;0x5401;0x5E7A","C:\Program Files (x86)\Nova1492\datan\common\top31.TGA","datan_common_arm19_roz_611f470e.TGA","gx_mesh_headers","7","7","0x151:v82:t88;0x1E34:v38:t44;0x2D15:v32:t30;0x3A0F:v12:t12;0x4121:v38:t44;0x5001:v32:t30;0x5CFA:v12:t12","","","","","","0","-0.611489;-0.106165;-0.342684|0.609079;0.749351;0.359927","0","7",""
"converted","datan\common\arm1_sz.gx","C:\Program Files (x86)\Nova1492\datan\common\arm1_sz.gx","10395","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm1_sz_5fce3a7e.obj","123","131","0x49E;0x25AF","0x9D2;0x263F","0xF06;0x26CF","0x127E;0x272F","C:\Program Files (x86)\Nova1492\datan\common\top1.TGA","datan_common_arm1_sz_5fce3a7e.TGA","gx_mesh_headers","2","2","0x49E:v111:t119;0x25AF:v12:t12","","","","","","0","-0.272744;-0.025977;-0.374875|0.278115;0.308452;1.568361","0","7",""
"converted","datan\common\arm20_rkto.gx","C:\Program Files (x86)\Nova1492\datan\common\arm20_rkto.gx","23603","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm20_rkto_aae07f0f.obj","264","328","0x151;0x3C61;0x4459;0x4E93;0x568B","0xA81;0x3D2D;0x4525;0x4F5F;0x5757","0x13B1;0x3DF9;0x45F1;0x502B;0x5823","0x19D1;0x3E81;0x4679;0x50B3;0x58AB","C:\Program Files (x86)\Nova1492\datan\common\top32.TGA","datan_common_arm20_rkto_aae07f0f.TGA","gx_mesh_headers","5","5","0x151:v196:t232;0x3C61:v17:t24;0x4459:v17:t24;0x4E93:v17:t24;0x568B:v17:t24","","","","","","0","-0.867133;-0.046267;-0.349949|0.861386;1.009522;0.606124","0","7",""
